ID,Nome,Preferito,Posizione,Durata,Giocatori,Età,Tipologia,Collezione,Note,ParoleChiave,URLImmagine
g0001,7 Wonders - Architecs,FALSE,Casa,25,2;7,,Strategia;GestioneRisorse,g0003,,7 Wonders - Architecs Casa Strategia;GestioneRisorse ,https://www.dl.dropboxusercontent.com/scl/fi/ku0daxpxaf4rqlpcfn9n3/7wondersarchitecs.jpg?rlkey=p6sr38ephewgwjrj34ru5k53n&dl=0
g0002,7 Wonders - Duel,FALSE,Casa,30,2,10,Strategia;GestioneRisorse,g0003,Risorse,7 Wonders - Duel Casa Strategia;GestioneRisorse Risorse,https://www.dl.dropboxusercontent.com/scl/fi/l9tgqmdo047ngdxq9gcej/7wondersduel.jpg?rlkey=eu5hb72rf4g93fti5icbuberm&dl=0
g0003,7 Wonders,FALSE,Casa,30,3;7,,Strategia;GestioneRisorse,g0003,Risorse,7 Wonders Casa Strategia;GestioneRisorse Risorse,https://www.dl.dropboxusercontent.com/scl/fi/5blbrfwnsikhcwghj12oo/7wonders.jpg?rlkey=y5t09fqrr8yuzz2e8zq1ocpnh&dl=0
g0004,7 Wonders - Duel - Pantheon,FALSE,Casa,30,2,10,Strategia;GestioneRisorse,g0003,Risorse,7 Wonders - Duel - Pantheon Casa Strategia;GestioneRisorse Risorse,https://www.dl.dropboxusercontent.com/scl/fi/rbiepb2lh9nsa7q997636/7-wonderspantheon.png?rlkey=hbxnlqdxx3i6irk5pfomdd7ug&dl=0
g0005,Bang,FALSE,FALSE,20,4;7,,Bluff;StrategiaBluff;StrategiaGdR,,,Bang FALSE Bluff;StrategiaBluff;StrategiaGdR ,https://www.dl.dropboxusercontent.com/scl/fi/iwkrhzbc1xoxad5v1y3vt/bang.jpg?rlkey=gof1u5id765rsjddixjrbs8sg&dl=0
g0006,Brandi Dog,FALSE,Casa,30,2;4,,Classico;Carte;Famiglia,,,Brandi Dog Casa Classico;Carte;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/tpike4iexh7yfwo7u9z3j/brandiDog.png?rlkey=k4jrlb08j8f3qa45w4teec89u&dl=0
g0007,Dixit Stella,FALSE,Casa,30,3;6,,Deduzione;Parole;Creatività;Plancia,g0008,,Dixit Stella Casa Deduzione;Parole;Creatività;Plancia ,https://www.dl.dropboxusercontent.com/scl/fi/k1lxvpddquboyu11pdj6m/dixitstella.jpg?rlkey=o5tjvc2n25ney3rb1gj7bin8d&dl=0
g0008,Dixit,FALSE,Casa,30,3;6,,Deduzione;Parole;Creatività,g0008,,Dixit Casa Deduzione;Parole;Creatività ,https://www.dl.dropboxusercontent.com/scl/fi/qy94w3k4yt3qk87z1s0cm/dixit.jpg?rlkey=ymqqinqtsq3v7o8uib1enbjdt&dl=0
g0009,Exploding Kittens,FALSE,Casa,15,2;5,7,StrategiaBluff;Famiglia,g0009,,Exploding Kittens Casa StrategiaBluff;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/8tkmzz7w6swu36vj869jo/explodingKittens.jpg?rlkey=1ch2lgi2o3z2i86fdf4citrps&dl=0
g0010,Imploding Kittens,FALSE,Casa,15,2;5,7,StrategiaBluff;Famiglia,g0009,,Imploding Kittens Casa StrategiaBluff;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/d8jxzkheb6frepc2h5m8h/explodingKittensimplodingKittens.jpg?rlkey=qi8xrs474d2pxyswqfrgar7x1&dl=0
g0011,Exploding Kittens - v.m. 18,FALSE,Casa,15,2;5,18,StrategiaBluff;Famiglia,g0009,,Exploding Kittens - v.m. 18 Casa StrategiaBluff;Famiglia ,https://www.dl.dropboxusercontent.com/scl/fi/7mj5qx3jxmzdbv3je615j/explodingKittensvm18.jpg?rlkey=inokhpn1l5pjjqzrxxbl35qyo&dl=0
